Regulated-By from All promoters of E. coli K-12 substr. MG1655	Matches	Mode	Promoters - genes downstream of promoter	Accession-1
Regulation of rrsEp3 by DksA-ppGpp	rrsEp3	-	rrfE // rrlE // gltV // rrsE	b4010 // b4009 // b4008 // b4007
Regulation of rrsEp3 by ppGpp	rrsEp3	-	rrfE // rrlE // gltV // rrsE	b4010 // b4009 // b4008 // b4007
Regulation of rrsGp by DksA-ppGpp	rrsGp	-	rrfG // rrlG // gltW // rrsG	b2588 // b2589 // b2590 // b2591
Regulation of rrsGp by ppGpp	rrsGp	-	rrfG // rrlG // gltW // rrsG	b2588 // b2589 // b2590 // b2591
Regulation of rrsGp1 by DksA-ppGpp	rrsGp1	-	rrfG // rrlG // gltW // rrsG	b2588 // b2589 // b2590 // b2591
Regulation of rrsGp1 by ppGpp	rrsGp1	-	rrfG // rrlG // gltW // rrsG	b2588 // b2589 // b2590 // b2591
Regulation of rrsHp by DksA-ppGpp	rrsHp	-	rrfH // rrlH // alaV // ileV // rrsH	b0205 // b0204 // b0203 // b0202 // b0201
Regulation of rrsHp by ppGpp	rrsHp	-	rrfH // rrlH // alaV // ileV // rrsH	b0205 // b0204 // b0203 // b0202 // b0201
Regulation of rrsHp1 by DksA-ppGpp	rrsHp1	-	rrfH // rrlH // alaV // ileV // rrsH	b0205 // b0204 // b0203 // b0202 // b0201
Regulation of rrsHp1 by ppGpp	rrsHp1	-	rrfH // rrlH // alaV // ileV // rrsH	b0205 // b0204 // b0203 // b0202 // b0201
Regulation of rseAp3 by DksA-ppGpp	rseAp3	+	rseC // rseB // rseA	b2570 // b2571 // b2572
Regulation of rseAp3 by ppGpp	rseAp3	+	rseC // rseB // rseA	b2570 // b2571 // b2572
Regulation of rybBp by DksA-ppGpp	rybBp	+	rybB	b4417
Regulation of serWp2 by ppGpp	serWp2	-	serW	b0883
Regulation of sgrRp by ppGpp	sgrRp	+	sgrR // sroA // thiB // thiP // thiQ	b0069 // b4762 // b0068 // b0067 // b0066
Regulation of sgrSp2 by ppGpp	sgrSp2	+	sgrT // setA // sgrS	b4662 // b0070 // b4577
Regulation of speCp by ppGpp	speCp	-	speC	b2965
Regulation of srap by ppGpp	srap	+	sra	b1480
Regulation of thrLp by DksA-ppGpp	thrLp	+	thrL // thrA // thrB // thrC	b0001 // b0002 // b0003 // b0004
Regulation of thrSp by DksA-ppGpp	thrSp	-	ihfA // pheT // pheS // pheM // rplT // rpmI // infC // thrS	b1712 // b1713 // b1714 // b1715 // b1716 // b1717 // b1718 // b1719
Regulation of thrUp by ppGpp	thrUp	-	tufB // thrU // tyrU // glyT // thrT	b3980 // b3976 // b3977 // b3978 // b3979
Regulation of trxAp1 by ppGpp	trxAp1	+	trxA	b3781
Regulation of trxAp2 by ppGpp	trxAp2	+	trxA	b3781
Regulation of tyrTp by ppGpp	tyrTp	-	tpr // tyrV // tyrT	b1229 // b1230 // b1231
Regulation of uspAp1 by ppGpp	uspAp1	+	uspA	b3495
Regulation of uspBp by ppGpp	uspBp	+	uspB	b3494
Regulation of uspEp by ppGpp	uspEp	+	uspE	b1333
Regulation of yiiSp by ppGpp	yiiSp	+	uspD // yiiS	b3923 // b3922
