Gene,Sign,locus
lacI,+,b0345
mhpR,+,b0346
bidA,+,b1593
mlc,+,b1594
mlc,-,b1594
bidA,+,b1593
mlc,+,b1594
modA,+,b0763
modB,+,b0764
modC,+,b0765
mpl,+,b4233
mpl,+,b4233
mtlA,+,b3599
mtlD,+,b3600
mtlR,+,b3601
mtlA,+,b3599
mtlD,+,b3600
mtlR,+,b3601
mtlA,+,b3599
mtlD,+,b3600
mtlR,+,b3601
mtlA,+,b3599
mtlD,+,b3600
mtlR,+,b3601
mtlA,+,b3599
mtlD,+,b3600
mtlR,+,b3601
murP,+,b2429
murQ,+,b2428
murP,+,b2429
murQ,+,b2428
murP,+,b2429
murQ,+,b2428
nadC,+,b0109
umpH,-,b0675
nagC,-,b0676
nagA,-,b0677
nagB,-,b0678
umpH,+,b0675
nagC,+,b0676
nagA,+,b0677
nagB,+,b0678
umpH,-,b0675
nagC,-,b0676
nagA,-,b0677
nagB,-,b0678
umpH,+,b0675
nagC,+,b0676
nagA,+,b0677
nagB,+,b0678
nagE,+,b0679
nagE,-,b0679
nagE,-,b0679
nagE,+,b0679
nanA,+,b3225
nanQ,+,b3221
nanK,+,b3222
nanE,+,b3223
nanT,+,b3224
nanS,+,b4309
nanM,+,b4310
nanC,+,b4311
narQ,-,b2469
nirB,-,b3365
nirD,-,b3366
nirC,-,b3367
cysG,-,b3368
nirB,-,b3365
nirD,-,b3366
nirC,-,b3367
cysG,-,b3368
nmpC,+,b0553
nmpC,+,b0553
yfaE,+,b2236
nrdA,+,b2234
nrdB,+,b2235
nupC,+,b2393
nupC,+,b2393
nupG,+,b2964
nupG,+,b2964
nupG,-,b2964
nupG,-,b2964
nupG,+,b2964
nupG,-,b2964
ompA,+,b0957
ompF,+,b0929
ompF,+,b0929
ompF,+,b0929
ompF,+,b0929
ompF,+,b0929
ompF,+,b0929
envZ,-,b3404
ompR,-,b3405
envZ,+,b3404
ompR,+,b3405
envZ,+,b3404
ompR,+,b3405
envZ,-,b3404
ompR,-,b3405
ompW,-,b1256
osmY,-,b4376
osmY,-,b4376
osmY,-,b4376
osmY,-,b4376
osmY,-,b4376
osmY,-,b4376
oxyR,+,b3961
oxyR,+,b3961
paaK,+,b1398
paaJ,+,b1397
paaI,+,b1396
paaH,+,b1395
paaG,+,b1394
paaF,+,b1393
paaE,+,b1392
paaD,+,b1391
paaC,+,b1390
paaB,+,b1389
paaA,+,b1388
paaZ,+,b1387
pck,-,b3403
pck,+,b3403
pdhR,+,b0113
aceE,+,b0114
aceF,+,b0115
lpd,+,b0116
pdhR,+,b0113
aceE,+,b0114
aceF,+,b0115
lpd,+,b0116
pdhR,+,b0113
aceE,+,b0114
aceF,+,b0115
lpd,+,b0116
pdhR,+,b0113
aceE,+,b0114
aceF,+,b0115
lpd,+,b0116
pdhR,+,b0113
aceE,+,b0114
aceF,+,b0115
lpd,+,b0116
pdhR,+,b0113
aceE,+,b0114
aceF,+,b0115
lpd,+,b0116
pdhR,+,b0113
aceE,+,b0114
aceF,+,b0115
lpd,+,b0116
pdhR,+,b0113
aceE,+,b0114
aceF,+,b0115
lpd,+,b0116
pdhR,+,b0113
aceE,+,b0114
aceF,+,b0115
lpd,+,b0116
pdhR,+,b0113
aceE,+,b0114
aceF,+,b0115
lpd,+,b0116
pdhR,+,b0113
aceE,+,b0114
aceF,+,b0115
lpd,+,b0116
pdhR,+,b0113
aceE,+,b0114
aceF,+,b0115
lpd,+,b0116
patZ,+,b2584
patZ,+,b2584
plaR,-,b3574
pncB,-,b0931
pncB,-,b0931
ppdD,+,b0108
hofB,+,b0107
hofC,+,b0106
ppiA,-,b3363
ppiA,-,b3363
ppiA,+,b3363
ppiA,+,b3363
ppiA,-,b3363
ppiA,-,b3363
ppiA,-,b3363
preA,+,b2147
preT,+,b2146
proP,-,b4111
proP,+,b4111
prpE,+,b0335
prpD,+,b0334
prpC,+,b0333
prpB,+,b0331
prpR,+,b0330
psiE,-,b4030
ptsG,+,b1101
ptsG,+,b1101
ptsH,+,b2415
ptsI,+,b2416
crr,+,b2417
ptsH,+,b2415
ptsI,+,b2416
crr,+,b2417
ptsH,-,b2415
ptsI,-,b2416
crr,-,b2417
ptsH,+,b2415
ptsI,+,b2416
crr,+,b2417
ptsH,+,b2415
ptsI,+,b2416
crr,+,b2417
putP,-,b1015
putP,-,b1015
putP,-,b1015
puuE,-,b1302
puuB,-,b1301
puuC,-,b1300
puuR,-,b1299
puuD,-,b1298
raiZ,+,b4805
raiA,+,b2597
rbsZ,+,b4804
rbsR,+,b3753
rbsD,+,b3748
rbsA,+,b3749
rbsC,+,b3750
rbsB,+,b3751
rbsK,+,b3752
mazF,+,b2782
mazE,+,b2783
relA,+,b2784
rhaD,+,b3902
rhaA,+,b3903
rhaB,+,b3904
rhaD,+,b3902
