Gene names,Mori sector,wt_mass_fraction_poor,wt_mass_fraction_rich,rela_mass_fraction_poor,rela_mass_fraction_rich,wt_mass_fraction_poor_err,wt_mass_fraction_rich_err,rela_mass_fraction_poor_err,rela_mass_fraction_rich_err
galR,U,2.4866205274898888e-05,1.6336796254443095e-05,4.048951881196082e-05,3.933528317307184e-05,4.815425049796575e-07,2.0479919603922882e-07,5.182063464574828e-07,2.0139495940115463e-06
lysR,U,4.350135682320904e-06,5.9420262040709346e-06,3.952760905047612e-06,7.677013206957576e-06,2.0421331800097824e-07,1.4049157932122604e-07,5.835789397798903e-07,2.5034076059932706e-07
ygeA,S,3.175229890470778e-05,1.1353540458185476e-05,5.851649584826878e-05,2.8798641499855174e-05,4.93400657257002e-07,1.3820846274974473e-06,5.066355531576136e-06,3.123627166358388e-06
mioC,R,9.654120453705275e-05,5.6597652723691205e-05,0.00010225336185670984,6.262416335871562e-05,3.171629340069886e-08,2.0667909118965463e-07,5.905558960054727e-06,2.8866718412518505e-06
kefC,S,6.005390329525731e-06,1.6273650017613694e-06,1.3534082470456831e-05,9.296906488074415e-06,3.503502492341355e-07,1.548921532376889e-07,9.145077157887643e-07,1.0874910532466084e-06
malM,A,7.503735717455432e-07,8.79709155886076e-07,5.450019237529165e-07,2.7839513613316795e-06,2.7912795972762787e-07,8.79709155886076e-07,5.450019237529165e-07,2.8052097925775115e-07
kdpB,C',8.739675417966132e-08,0.0,1.4838977407039394e-05,7.642127312632648e-07,8.739675417966132e-08,0.0,6.104832544319047e-06,9.252703528309677e-08
dapB,A,0.0007260952745831939,0.00012366459618597234,0.0003068907542524787,0.0002252740572404098,1.8781019782314941e-06,9.581753101867477e-06,1.1058948690012902e-05,3.5686480171615953e-06
guaA,R,0.0014348386103178567,0.0026975548836408415,0.001323810978489264,0.0014370066494170438,2.454562362807621e-05,2.5965458504182727e-05,6.9949924574277305e-06,2.3677660647012625e-05
frsA,S',8.037751226679064e-05,0.00010774856883125383,0.00016149446740588178,0.00017978106696222055,5.687511612117486e-07,5.290209940993706e-07,3.18694412294285e-06,4.339083625538813e-06
argI;argF,S,0.0005667673809594237,0.00011440715284004221,0.000192819235546849,0.00010564125026149566,4.330163996581866e-06,1.735556570223065e-07,2.0852140715286424e-06,4.101744526636367e-06
gshB,S',0.00022804067556757805,0.0001941932595915477,0.0002845764171215476,0.000273490397474217,4.112470694214891e-06,2.0632241419168973e-07,1.4804987034615678e-05,5.613025142809535e-06
tyrB,S,0.0006469705392096666,0.0002508128154903787,0.0012692083593402134,0.0005372983542513876,7.381092381936985e-05,3.910153244083908e-06,2.9372139943935837e-05,2.644334124712503e-05
gltX,A',0.0009001314289462047,0.0010400365713799046,0.0008699246292549548,0.0008829822287460267,1.6190023341442134e-05,2.1765466734436126e-05,3.5781220426439066e-06,8.010841139763228e-06
livK,C',0.0014112672497940074,0.00012850346287757215,0.0005051043335152066,0.00012283848168918887,0.0001223083344149479,8.483778073073568e-06,2.4555562437800677e-05,3.517519957549849e-06
pepN,S,0.0007953435118829117,0.0007862341678272352,0.001402973557637717,0.0015055108968673185,5.6890964554432615e-06,1.8422800650751896e-05,7.665957746711555e-05,5.178385261482392e-05
nlpA,A',0.0004850903340698983,0.00012196538159602298,0.00033098178838037584,0.0002694474591910858,4.898878130790501e-06,7.422766542149184e-07,7.5517824988391175e-06,7.858085330067412e-07
fliC,C,0.006515600813892268,0.005763774116317151,0.00013112330979183566,0.00024304742073083123,0.00021056014209666803,4.323245357777889e-05,8.625116197615245e-05,2.2422717799582613e-05
kdsB,A',0.00019015316902541913,0.00026098627222206113,0.00016003261887192392,0.0002108275997243961,7.849525280183769e-06,1.0974136251251242e-07,2.381847856779647e-06,9.218022678524388e-07
ilvA,S,0.0013644228905806111,0.00024675474499009226,0.0023384832051451263,0.00177885462063476,9.68094917571283e-06,2.6957545039149264e-06,2.8825162903459286e-05,3.248649597340999e-05
rbsD,C,0.00027089680723374227,0.00020459219868092227,0.0001725521086008202,9.27882121198702e-05,1.6438298274693025e-05,1.0592293093522322e-06,4.957960906867639e-06,9.643890135497526e-07
rbsA,C,0.0003904539166731909,0.0002797550296663728,0.00018890658962371755,0.00011515399786823799,3.4402460749464515e-06,3.386136647949003e-06,5.7252320200239926e-06,2.9290053745888e-06
recD,U,5.521326935030587e-05,3.5730380249914345e-05,5.085220038186218e-05,4.1042999166038574e-05,7.159553289539558e-06,2.3363121917463748e-06,3.3951356533906003e-06,2.6164120233051937e-08
xseA,S',3.907199814727319e-05,3.133343539703268e-05,4.840459338764994e-05,4.297808875701566e-05,1.283673919404271e-07,5.163040181943681e-06,7.474363771917581e-07,1.0454371706880552e-06
sbcB,R,4.452528126423235e-05,6.725107536384301e-05,6.008816163405848e-05,7.79774826072778e-05,7.023799881802883e-06,9.240922623281959e-07,1.1991953379594625e-05,2.413526752083743e-06
pyrC,A,0.0003758626876095091,0.00045076055616853557,0.0003688682740027697,0.00039933327011459387,4.563368865158541e-06,6.158983580259372e-06,2.050703928083489e-06,9.964486022197045e-07
pabB,A',5.798628681941877e-05,4.137418911288735e-05,2.9403728825073917e-05,5.8283823340686696e-05,6.340895320861063e-06,7.512297504865302e-06,1.2781469988209834e-06,5.256303676113463e-07
fumC,S,0.00021307171142706787,9.020915732140727e-05,0.0004100913168153875,0.0004036391106189382,1.3908004831262766e-05,4.226461118506886e-06,2.8638041004287957e-07,8.09797993533531e-06
alkB,A,1.4035963049251363e-06,0.0,1.5680003299271655e-06,4.3690027944435286e-07,1.4035963049251363e-06,0.0,1.1595371470883534e-06,4.3690027944435286e-07
appY,U,0.00014384847085310582,0.00019094003100029512,0.00015668743294617956,0.00015702541983644535,1.0639665533075391e-05,1.5127246779994612e-05,7.520072310534794e-07,0.0001408015372491081
pnp,R,0.0030984362226033416,0.0031151166837838497,0.0029002519953413124,0.0028675511052716754,2.085127956035675e-05,5.508053921110057e-05,7.5075715745735e-05,1.535456965732541e-05
tag,S',4.896785621742482e-06,6.494578023008248e-06,1.4941038104972184e-05,2.5858858582226422e-05,1.2006936532787363e-06,2.67936950262396e-07,1.5309544167175742e-07,3.081287660328532e-06
aroD,S,0.0002526395254470105,0.00014588077826742471,0.0004873209138050792,0.0004641248559828046,5.08485258946472e-07,7.559694539763131e-07,5.987006003629962e-06,3.885334351501612e-06
ptrA,S,0.00011277548358254227,0.0001211110890588078,0.0001537674015761133,0.00019172404212026975,2.979938184826193e-06,1.537827605373578e-06,6.148694934912142e-06,1.19564150579016e-05
pdxB,S,0.0004205823763908138,0.0004553914364181761,0.00045822252894743196,0.0004794028571266451,2.411788035228574e-05,1.2278831264510818e-05,1.2135287999688366e-06,7.054382325263778e-06
mutM,U,8.402436907075441e-06,1.495017171309185e-05,6.846257655723422e-06,1.4583231211583998e-05,1.1278217852174988e-06,1.4964964911962305e-06,8.037028034732862e-07,3.518952846661696e-07
apaH,S,3.844655359038427e-05,5.395901901444803e-05,3.7082936652621656e-05,4.392431431031654e-05,2.1896248801287768e-07,1.3793406243616683e-06,3.953073152280949e-06,2.4465795596594834e-07
trg,C,0.0003112320188595547,0.00041357848812205347,0.00012241714857105923,0.00019547537689925776,6.978574760602407e-06,1.2153918752179008e-05,4.602782337020241e-06,1.6531288830033548e-05
srlB,C,6.543125508887113e-06,2.1783473360801375e-06,6.917615787663426e-06,5.075096828292988e-06,2.5906208500639445e-07,7.731669560781113e-08,1.9160560115094538e-07,1.1972375968566448e-07
hsdS,U,9.897195493404469e-05,0.00010894278965607604,5.3165536220670124e-05,6.671043832201713e-05,7.865668430687421e-07,1.676120856070054e-07,1.8792470544384577e-07,2.2711685558932953e-06
ilvD,A',0.0031187497398441925,0.0007267994583255313,0.004711678017935374,0.00374572904452427,4.881812080809698e-07,4.108216809893279e-05,7.991516356351805e-05,2.309774128883427e-05
ilvC,U,0.0052848078588126225,0.0005218977245490951,0.005367022614572501,0.004892795462172656,0.00011074540644185563,7.851541196567612e-07,6.0372152382542725e-05,0.00014604689401809387
uidA,C,3.679722835523057e-07,0.0,0.00012364926955402096,1.2551084836326998e-05,3.679722835523057e-07,0.0,5.41557073849033e-06,3.3032512211669686e-06
fepA,U,0.0005039841094214845,0.00015154578428689503,0.0003155128147358013,0.00011290483106913917,5.715696069338535e-05,1.4658793922357416e-05,8.032829241070362e-06,6.334595782951508e-07
ilvY,C',6.735356906191906e-06,7.6265289513981684e-06,6.066173233630617e-06,9.55921156131124e-06,3.184337641274309e-07,2.1567739550095544e-06,1.967120541230257e-06,1.7562237248425118e-06
tsaD,R,0.00012044002697583562,9.486927084367166e-05,9.352001674164896e-05,6.495158361114023e-05,6.083131976113932e-06,3.971344976477221e-06,7.439097399396682e-06,2.6065115481401733e-06
btuB,S,0.0009031062127253635,0.0006711111373376361,0.0006206096924154328,0.00054795094519018,1.0535078572819197e-05,3.162422239690342e-05,2.8300746717075038e-05,7.924133379306325e-06
ftsQ,S',4.901443394782502e-05,5.295918498716974e-05,4.153225687561605e-05,5.4216872703699654e-05,1.701864252875374e-06,8.277465127526293e-07,1.2042138970792992e-05,9.446774460017222e-06
dld,S,0.00025772344171566606,0.00021116550888745128,0.0003891828348333397,0.0003702469794813714,7.137668475591365e-06,3.976943539619012e-06,7.047426765785731e-07,1.0250856818669568e-05
cdh,R,4.758580749042757e-05,6.339518340275644e-05,3.596792663863861e-05,4.886546600735266e-05,1.6696532603208855e-06,1.7973628579249915e-06,3.219317215924546e-06,7.843729868224668e-06
btuE,S,8.491437248859786e-05,0.0004867708087562233,0.00026007524530921133,0.000536681407052181,2.8326156629642903e-06,3.856618055349438e-06,1.2588298636124709e-05,1.7351368350627483e-05
btuD,C,7.51327833315184e-06,3.7733179808727213e-06,7.497276655957682e-06,4.8196302564954415e-06,3.5645476943208043e-07,2.170038220183572e-09,3.205034315350487e-07,1.2507836890939635e-07
topA,A',0.0004188597608648655,0.0005448029345396128,0.0005030523282403743,0.0005070041585152727,1.564021323410708e-05,6.49773835409629e-06,9.900924466273143e-07,2.1456774862520033e-05
era,R,0.0001930391004189092,9.965155890779995e-05,0.00011026184499098192,6.0104069420718935e-05,3.2198608699361795e-06,5.98037430975817e-06,2.303615091521798e-05,1.0679084781171721e-05
birA,S',1.685290543530329e-05,1.8097952935807144e-05,2.11752307079468e-05,1.9902823153668038e-05,3.7154326380607264e-07,3.7310022050534433e-07,4.4665955424023015e-06,2.4780539952047737e-07
dnaX,S',7.239250660652268e-05,6.027403071832055e-05,0.00010611588973632857,9.017148273384227e-05,3.902196795807478e-06,2.141305368593041e-06,1.2909523985122837e-05,1.614293248638895e-06
gor,S,0.00041050716682294007,0.0004856220834629214,0.0005148207250473124,0.0005565480822998645,6.3405213444343086e-06,1.56281621736744e-07,1.0210737411422749e-05,1.0320685948220828e-06
metC,A,0.0004104415430239317,6.407510690758782e-05,0.0003349712567485244,0.00017214843330726036,1.0663608194609722e-05,1.2068695152595935e-06,8.494366712576704e-07,1.1548689523668446e-06
ebgR,S',2.8639333328580786e-05,2.4778208000849636e-05,3.0045520862427412e-05,4.0991551019647324e-05,1.3529756570555362e-06,1.6855994535616235e-07,8.317167901936158e-07,3.353957944232703e-06
aceF,A,0.0026478663717699733,0.003958964123354306,0.002427986531403827,0.0031556372884102898,1.663828694199081e-05,2.3289769895847717e-05,3.4771985169736e-05,2.61665938498959e-05
cca,S',5.298929626733704e-05,4.935424805999123e-05,9.619410490126996e-05,6.972908291936949e-05,1.2876927122662455e-05,8.449463421877336e-06,3.5280425174841665e-06,2.0378725559716434e-06
dicA,S',6.29210114465891e-06,9.121910687709583e-06,7.422499613367409e-06,1.2100445928204487e-05,9.30250689760907e-07,7.156945666317652e-07,1.0581453945811419e-07,3.4437274718045864e-07
dut,A',0.0001277891771225073,0.00033734039819005807,0.00012315889325011185,0.000275756498796866,3.430810327705882e-07,2.1128324504286267e-06,3.45150379353495e-06,2.540464073695094e-06
fhuA,C,0.0010582857346629585,0.0007051594835600584,0.0012284466115237043,0.0007342370486230698,3.6830601688654803e-05,3.2668622291601786e-05,3.0524575146117345e-05,2.4454208110288097e-05
fliM,C,0.00023071576197895513,0.00020921537111947267,8.600237076044833e-06,2.7219874667920928e-05,7.086118636740412e-06,2.011270314287086e-06,6.538274443432444e-07,1.9552996477970426e-06
hemC,S',0.00012923156688355626,0.0001514819674840516,0.00018114702936334497,0.00017612716193950487,2.794162833648638e-07,3.152117071680854e-07,1.1890730983479974e-05,2.186025502648654e-06
hisC,A,0.0006709723059339177,0.00018919276797733036,0.001417621716513056,0.0005184579029431977,3.5680954504319345e-05,2.7546078356660445e-06,9.903117949043767e-05,8.999283061475287e-06
hisB,A,0.0011199733877522177,0.0002977510635864312,0.0020441049542485536,0.000796798942634854,7.427051641180327e-06,3.6539039207721905e-06,3.7155660459944635e-05,1.9069821778638007e-05
hisD,A,0.0012822332203528074,0.0004575127809984345,0.0021675170370076408,0.0010429990222872837,4.058858430897559e-05,4.316676246566552e-05,5.328087484962802e-05,1.3422729716938589e-05
hisI,A,0.0007760585561561687,9.54965833273081e-05,0.0011828863569676579,0.00035356952868789715,2.3558970410567136e-05,2.7616811751767734e-06,2.674854609655236e-05,2.386183642687578e-05
rsmA,R,9.803524413518782e-05,0.00011510884328743337,7.523526934827293e-05,6.318535705787754e-05,2.067405921534191e-06,4.801985917230042e-07,9.844239031810807e-07,7.496177628728631e-06
malT,C,0.00022757201868670127,6.911773007802687e-05,0.0002813024456273723,1.703679430197998e-05,0.00013227315572871145,1.4155860247148983e-05,4.073279397231045e-06,2.237817851007206e-06
ompC,S',0.00016855481163253555,0.0005850208449908878,0.0018649674925789745,0.003992957599054337,3.166913069608266e-05,1.8219165856830856e-05,5.550493881118564e-05,8.429030285483918e-05
pfkB,A',4.614056505764041e-05,4.867816462812565e-05,0.0002973416402486911,0.0002587438252634644,5.6031711705821e-06,4.3542227463077803e-07,3.570766899982207e-07,2.552411014100223e-05
pldB,U,9.354319987512347e-06,6.382835901292527e-06,1.4268162899017696e-05,1.378939353041355e-05,7.397072178115534e-07,5.438390740768071e-07,3.983832309950594e-07,1.1529757762255734e-06
